job_id,job_title,company,job_function,job_type,industry,career_level,years_of_experience,qualification,benefits
100003010741729,Accounting Executive - Account Receivable / Account Payable,ASICS HongKong Limited,"Accounting, Accountant, Accounting Clerk / Supervisor, Others","Full Time, Permanent",,Entry Level,N/A,Non-Degree Tertiary,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003010738884,Business Development Executive,BridgeBuilder Company Limited,"Information Technology (IT), Technical / Functional Consulting, Sales, CS & Business Devpt, Account Servicing, Sales Administration",Full Time,,Middle,N/A,Degree,"Life insurance, Medical insurance, Overtime pay, Performance bonus, Transportation allowance, Work from home, Five-day work week, Flexible working hours"
100003010744530,Account clerk 財務會計職員,China Lounge Investments Ltd,"Accounting, Finance / Accounting Manager",Full Time,,Entry Level,3 years,Degree,"Double pay, Education allowance, Life insurance, Medical insurance, Performance bonus, Transportation allowance, Five-day work week"
100003010738882,System Support Officer,BridgeBuilder Company Limited,"Information Technology (IT), IT Project Management / Team Lead",Full Time,,Middle,1 year,Degree,"Medical insurance, Overtime pay, Performance bonus, Transportation allowance, Five-day work week, Flexible working hours"
100003010744605,Account Executive (E-commerce/Sport/Event),505 United Limited,"Marketing / Public Relations, Public Relations - Event Management, Digital Marketing, E-commerce, Marketing - Brand / Product Management","Full Time, Permanent, Internship",,Entry Level,N/A,Degree,"Double pay, Medical insurance, Performance bonus, Transportation allowance, Work from home, Five-day work week, Flexible working hours"
100003010742457,Social Media Manager SMM - China/Hong Kong,Aptos Asia Limited,"Marketing / Public Relations, Marketing - Brand / Product Management",Full Time,,Senior,3 years,Degree,"Medical insurance, Overtime pay, Transportation allowance, Travel allowance, Five-day work week"
100003010745017,Finance Officer,NV5 Limited,"Accounting, Accountant, Accounting Clerk / Supervisor, Others",Full Time,,,,,"Medical insurance, Five-day work week"
100003010741443,私人助理  Personal Assistant,Oriental International Consultancy Firm,"Banking / Finance, Financial Services",Full Time,,Entry Level,1 year,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week"
100003010745041,Designer ( Toys / Graphic / 3D CAD ),Sentinel International Co. Limited,"Design, Graphics, Industrial / Product, Others",Full Time,,Middle,1 year,Non-Degree Tertiary,"Medical insurance, Performance bonus"
100003010743752,Teacher Assistant,St. Paul's Co-Educational College,"Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,Entry Level,,Degree,
100003010741194,Senior Human Resources Officer (Training team - Well-being & Events),Uni-China (Market) Management Limited,"Admin & HR, HR Supporting Staff, Training & Development","Full Time, Permanent",,Entry Level,4 years,Non-Degree Tertiary,"Double pay, Medical insurance, Performance bonus, Five-day work week"
100003010744576,Shipping Clerk,Toray Industries (H.K.) Limited,"Transportation & Logistics, Shipping, Merchandising & Purchasing, Fabrics, Textiles","Full Time, Permanent",,Entry Level,3 years,Non-Degree Tertiary,"Dental insurance, Double pay, Medical insurance, Performance bonus, Five-day work week"
100003010744933,Senior Marketing Executive,Life Young Healthcare Limited,"Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - Direct Marketing, Public Relations - Event Management","Full Time, Permanent",,Entry Level,3 years,Degree,"Medical insurance, Performance bonus, Five-day work week"
100003010744787,PR Executive,Joyous Communications Limited,"Marketing / Public Relations, Marketing - Marketing Communication, Public Relations - Event Management, Public Relations - General / Support","Full Time, Permanent",,Entry Level,,Degree,"Dental insurance, Double pay, Medical insurance, Overtime pay, Five-day work week"
100003010744968,Clerk,Hong Kong Biotechnology Organization,"Others, Student / Fresh Graduate / No Experience","Full Time, Contract",,Entry Level,N/A,School Certificate,"Medical insurance, Five-day work week"
100003010743473,KYC Officer (6-month Contract),TNG (Asia) Limited,"Others, Others",Contract,,,,,
100003010743677,Senior Graphic Designer | Media Agency,Fabcom Limited,"Design, Graphics",Full Time,,Entry Level,1 year,Non-Degree Tertiary,"Free shuttle bus, Medical insurance, Performance bonus, Five-day work week"
100003010741046,Department Secretary,San Miguel Brewery Hong Kong Limited,"Admin & HR, Clerical / Admin Staff, Personal / Executive Assistant, Secretary","Full Time, Permanent",,Entry Level,3 years,School Certificate,"Double pay, Medical insurance, Five-day work week"
100003010745046,Event / Project Coordinator,KVL Productions Company Limited,"Media & Advertising, Account Servicing, Production, Marketing / Public Relations, Public Relations - Event Management","Full Time, Permanent",,Entry Level,,Degree,
100003010744413,Sales Coordinator (Export),HTL Limited,"Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - General / Support, Others",Full Time,,Middle,2 years,Non-Degree Tertiary,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003010744491,Graphic & Event Decoration Designer,Intermax Productions Limited,"Design, Graphics, Multi-media","Full Time, Permanent",,Middle,1 year,Degree,"Performance bonus, Five-day work week"
100003010744030,Administrative Assistant,Taste of Asia Group Limited,"Admin & HR, Others, HR Supporting Staff, Recruitment / Executive Search",Full Time,,,,,
100003010743381,"九龍灣區 - csl. 網上銷售主任 - 月薪高達30K (五天工作, 需輪班輪休)",csl Mobile Limited,"Media & Advertising, Others, Sales, CS & Business Devpt, Call Centre, Tele-sales (Telemarketing)","Full Time, Permanent",,Entry Level,1 year,School Certificate,"Free shuttle bus, Medical insurance"
100003010739656,General Clerk 文員,Big Grains Limited,"Admin & HR, Clerical / Admin Staff, Hospitality / F & B, Food & Beverage, Merchandising & Purchasing, Others",Full Time,,Entry Level,1 year,,"Double pay, Performance bonus, Transportation allowance, Five-day work week"
100003010744964,Engineer/ Assistant Engineer (Electrical),Hongkong International Terminals Limited,"Engineering, Electrical / Electronics, Engineering Project Management, Mechanical","Full Time, Permanent",,Entry Level,,Degree,"Double pay, Free shuttle bus, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010744876,Personnel Supervisor 人事督導,Mekim Limited,"Admin & HR, Clerical / Admin Staff, Compensation & Benefits, HR Supporting Staff","Full Time, Permanent",,Middle,4 years,Non-Degree Tertiary,"Double pay, Medical insurance, Five-day work week, Flexible working hours"
100003010743976,By-laws Inspection Unit Officer (Ref: 230001SH),MTR Corporation Limited,"Transportation & Logistics, Others, Private Transportation, Public Transportation","Full Time, Permanent",,Middle,2 years,School Certificate,
100003010742214,Assistant Administration Officer,Sun Life Hong Kong Ltd,"Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,Entry Level,,,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010742344,Assistant Accounting Manager,Renishaw (HK) Ltd,"Accounting, Finance / Accounting Manager","Full Time, Permanent",,Middle,8 years,Degree,"Dental insurance, Double pay, Free shuttle bus, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010743275,Project Administrator (6 months contract),Siemens Ltd,"Accounting, Accounting Clerk / Supervisor, Transportation & Logistics, Others, Shipping","Full Time, Temporary, Contract",,,,,Five-day work week
100003010741686,Sales Clerk,Swiss Polymeric International Limited,"Others, Trading",Full Time,,,N/A,(N/A),
100003010745012,Operation and Maintenance Officer (IT),"Guosen Securities (HK) Financial Holdings Company, Limited","Banking / Finance, Financial Services, Information Technology (IT), Application Specialist - Software, Network & System","Full Time, Permanent",,Entry Level,3 years,Degree,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003010744197,Marketing Manager,"Nu Skin Enterprises Hong Kong, LLC","Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - Direct Marketing, Marketing - Marketing Communication","Full Time, Permanent",,Middle,5 years,Degree,"Dental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003010743384,Sales Coordinator,OpSec Delta (HK) Limited,"Manufacturing, Garment / Textile, Merchandising & Purchasing, Others, Sales, CS & Business Devpt, Account Servicing",Full Time,,,3 years,Postgraduate,"Double pay, Medical insurance, Five-day work week"
100003010743561,JUNIOR ACCOUNT CLERK (AP),Macnica Cytech Limited,"Accounting, Accounting Clerk / Supervisor",Permanent,,,,,"Dental insurance, Double pay, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
